type,name
physpreset,#gib_zombie
xmodel,#p7_zm_teddybear_sitting
xmodel,#hash_257f4772003687c0
xmodel,#hash_257f497200368b26
xmodel,#hash_257f4a7200368cd9
xmodel,#c_t8_zmb_3rdclass_male_body3_s_lleg
xmodel,#c_t8_zmb_3rdclass_male_body3_s_rleg
xmodel,#c_t8_zmb_3rdclass_male_body3_s_larm
xmodel,#p7_gib_chunk_flesh_01
xmodel,#p7_gib_chunk_flesh_03
xmodel,#p7_gib_chunk_bone_03
xmodel,#c_t8_zmb_3rdclass_male_body3_s_rarm
xmodel,#p7_gib_chunk_meat_01
xmodel,#p7_gib_chunk_meat_02
xmodel,#p7_gib_chunk_meat_03
xmodelmesh,#hash_f7c31338e84dcc7
xmodelmesh,#hash_157b0d1cff41256e
xmodelmesh,#hash_1c837fea9d78eba5
xmodelmesh,#hash_1fadab4a80c4c47c
xmodelmesh,#hash_324565fd679ddbd8
xmodelmesh,#hash_34aa1d3a567d5b7f
xmodelmesh,#hash_3ea0841590fc42bd
xmodelmesh,#hash_4a451e116ba99c33
xmodelmesh,#hash_558e7683c4c03b9f
xmodelmesh,#hash_5b8eaa2910116f42
xmodelmesh,#hash_5d77aadf58702fe3
xmodelmesh,#hash_699d69cc6bb0479b
xmodelmesh,#hash_6b9279340e7b49c0
xmodelmesh,#hash_6ce32838fa3bf368
xmodelmesh,#hash_74a43218b1e99c14
xmodelmesh,#hash_8086d29ec80818ac
xmodelmesh,#hash_93043e0c62873237
xmodelmesh,#hash_93f4ac9145531e66
xmodelmesh,#hash_96cad34a186d3391
xmodelmesh,#hash_96d8c0e92de98ae0
xmodelmesh,#hash_9b23a325d2f7d0b3
xmodelmesh,#hash_9b94078e7e5ca50a
xmodelmesh,#hash_9eb5cf3bd9c82110
xmodelmesh,#hash_a12698f550a07699
xmodelmesh,#hash_a3aeaf86f2078bf4
xmodelmesh,#hash_aa333a5c08ad4817
xmodelmesh,#hash_abaa5344d1385724
xmodelmesh,#hash_add7f8c4aec87c60
xmodelmesh,#hash_b6b85eeffaa48b11
xmodelmesh,#hash_b9237a6c50d737a8
xmodelmesh,#hash_b97f72404e1f4b59
xmodelmesh,#hash_ba5407a21fee9643
xmodelmesh,#hash_bb1b5a5cf628821f
xmodelmesh,#hash_c246d01a8a21335d
xmodelmesh,#hash_c5338fc7dbeeb62d
xmodelmesh,#hash_d3f246cdfabbd27c
xmodelmesh,#hash_d83f293032ebddca
xmodelmesh,#hash_dadb36b6a84f25a0
xmodelmesh,#hash_e554abc95e7b3efb
xmodelmesh,#hash_e6f94a9bda9ee5aa
xmodelmesh,#hash_e887c86223f2519e
xmodelmesh,#hash_e91f5beadbac25c6
xmodelmesh,#hash_e98d5e9c0950b1a9
xmodelmesh,#hash_ec9f3c46396aec7a
xmodelmesh,#hash_ed0e5ff109f50f2d
xmodelmesh,#hash_f2feb748953d0c87
xmodelmesh,#hash_f745323b9cdbbff2
xmodelmesh,#hash_f82fbbc4ddd2f5fe
material,#hash_408202c37984100
material,#hash_408212c379842b3
material,#hash_408232c37984619
material,#hash_74ba4c344d69263
material,#hash_74ba5c344d69416
material,#hash_74ba8c344d6992f
material,#hash_74ba9c344d69ae2
material,#hash_79621d0c84f8ed9
material,#mc/mtl_p7_zm_teddybear
material,#hash_11b0d0d90649d836
material,#hash_139cbc2f99041c5b
material,#hash_1514e0dfa41356c1
material,#hash_170a796415e9a6dc
material,#hash_170a7a6415e9a88f
material,#hash_170a7d6415e9ada8
material,#hash_170a7e6415e9af5b
material,#hash_170a7f6415e9b10e
material,#hash_170a806415e9b2c1
material,#hash_170a826415e9b627
material,#hash_170a836415e9b7da
material,#hash_170a846415e9b98d
material,#hash_1884a11c96e94c6c
material,#hash_1884a41c96e95185
material,#hash_191119f9e8980555
material,#hash_1d69fcc2d0f5b4cd
material,#hash_1ecba0feea7712a8
material,#hash_1f039f86be2b9ae3
material,#hash_2069b3ffd9648aa5
material,#hash_2907b19e1a44c529
material,#hash_2c0f624a88c57730
material,#hash_32303d9b7ae472fc
material,#hash_351b05b99c6ed818
material,#hash_351b06b99c6ed9cb
material,#hash_351b07b99c6edb7e
material,#hash_351b08b99c6edd31
material,#hash_351b09b99c6edee4
material,#hash_351e82b99c71e256
material,#hash_351e83b99c71e409
material,#hash_351e8cb99c71f354
material,#hash_351e8db99c71f507
material,#hash_351e8eb99c71f6ba
material,#hash_3609a4e2901afb61
material,#hash_3e39f1bb9e15a41e
material,#hash_40069ebc6a0e9fb2
material,#hash_4356d2058f2d863b
material,#hash_4696ccb2520df078
material,#hash_46ff6c776332ab89
material,#hash_484653545060d78b
material,#hash_484735dbd24cf640
material,#hash_484737dbd24cf9a6
material,#hash_484738dbd24cfb59
material,#hash_484739dbd24cfd0c
material,#hash_48473adbd24cfebf
material,#hash_48473bdbd24d0072
material,#hash_48473cdbd24d0225
material,#hash_48473edbd24d058b
material,#hash_4e1206d424e4463a
material,#hash_4f5591e1f5156e7f
material,#hash_5114440b9af6b0f6
material,#hash_5420725b95eeb397
material,#hash_5a2ef42eecca58fd
material,#hash_5f6d782505692c29
material,#hash_604ddbbb0f74939e
material,#hash_6846b005bc0c70a6
material,#hash_685c407ef6d01a23
material,#hash_68f624d0cdfdae1f
material,#hash_68f625d0cdfdafd2
material,#hash_6a55d9df472072e7
material,#hash_6a55dadf4720749a
material,#hash_6c10eca798e42bfd
material,#hash_750b1feaea645dc0
material,#hash_7cfecf68f55547d9
material,#hash_e7597e14886d4aed
techset,#hash_2587b26d1792de9
techset,#hash_690e77ad0434d19
techset,#hash_d178b7f7fdd7012
techset,#hash_f7c3e2472eb3a6b
techset,#hash_16e01fc594cb25a3
techset,#hash_23e831c6ed5b295e
techset,#hash_26f73809dabe1b10
techset,#hash_3cbd2c1db8e29d7c
techset,#hash_40dc522ddff77a30
techset,#hash_52391377bc2aba11
techset,#hash_5307b6f5d79c1c05
techset,#hash_5b9cabab4f5610f6
techset,#hash_6ae50e2f06b5620f
techset,#hash_7e67b8e4d082e6fd
techset,#hash_833832cd9511a3ad
techset,#hash_a656ab69d7e5b667
techset,#hash_adba6ca0636b9975
techset,#hash_d3de180566eb5023
techset,#hash_d798ed7f7d9954d0
techset,#hash_dc620bec3ab6c90d
techset,#hash_dea2fd76e6b90c1b
techset,#hash_fa5629edc4596fbb
techset,#hash_fe67b7e4d082e54a
image,#i_t8_decal_blood_pool_floor_01_c
image,#hash_de02996f7c8f43
image,#hash_3192dc54aedd2fa
image,#i_generic_filter_blood_damage_r
image,#i_t7_concrete_bare_wet_warm_n
image,#hash_6b9fee73bdced5f
image,#hash_866f5f93a1ddc2c
image,#hash_9745c319e60293c
image,#i_t7_decal_blood_hand_04_c
image,#hash_dce46c55192e875
image,#hash_12a9725871196988
image,#hash_15f668c5560cd4fb
image,#hash_175270a54e284bca
image,#hash_190d85be5412e20e
image,#hash_1d4570c559cea493
image,#hash_1d457fc559cebe10
image,#hash_1f12254d316061a7
image,#hash_217c1bcbed9d0e93
image,#hash_26209c0b0e2e04cc
image,#hash_2653f7ceca442d1a
image,#hash_2720bac55fba6991
image,#hash_27891bd79b303d76
image,#hash_278928d79b30538d
image,#hash_28cb52cbf15f2e08
image,#hash_2982d7136245c8c5
image,#hash_2d5f204cd5e75083
image,#hash_2d5f2b4cd5e76334
image,#hash_2e6fd1c5637c52a6
image,#hash_32a757291b82882f
image,#hash_333a08be62f42067
image,#hash_3562a39bdd2a01b4
image,#hash_37602461df30886b
image,#hash_37f87653703a0baa
image,#hash_392504c56a21944f
image,#hash_39f5a4cbfb0cc29e
image,#hash_414d3bc56e9ba484
image,#hash_460779b5806a9c2f
image,#hash_46077ab5806a9de2
image,#hash_46077fb5806aa661
image,#hash_460783b5806aad2d
image,#hash_49f688cbbbc9520a
image,#hash_49f699cbbbc96eed
image,#hash_4fad28e99cb151a2
image,#hash_58d2ec083af198c3
image,#hash_5a04d352089b804b
image,#hash_5aa318f66eea53ec
image,#hash_5b349cd73f984260
image,#hash_5b349dd73f984413
image,#hash_5b34a4d73f984ff8
image,#hash_5b6449e7235003d0
image,#hash_5ccd70df7461e2f5
image,#hash_67ed3c47dabe22f1
image,#hash_6a641797a9454a16
image,#hash_6d677be72db552c6
image,#hash_710714c0975bc5cb
image,#hash_710720c0975bda2f
image,#hash_71a4e32a4687bf24
image,#hash_71a4e42a4687c0d7
image,#hash_7742d4e733a13141
image,#hash_78ace2df84b498eb
image,#i_c_t8_zmb_male_shirt_1_c
image,#$identitynormalmap
image,#$white_gloss
image,#hash_9d5701bc91bb0951
image,#hash_9f12144d316044c4
image,#$white_reveal
image,#$normal
image,#hash_b11aa3d9bd87d0a9
image,#hash_b317746176dd0633
image,#hash_b74b0d1ce8406fc8
image,#hash_bf6762fac217dd09
image,#$white_ao
image,#hash_c12c59019409fd3f
image,#hash_c9b305ba62b3c81f
image,#hash_ce2e5a45d035a570
image,#hash_ce2e5e45d035ac3c
image,#hash_ce2e6745d035bb87
image,#hash_d97640481e2d59c1
image,#hash_deba954b24b90a57
image,#$blacktransparent_color
image,#hash_f9e91ef08270b130
image,#$default
impactsoundstable,#phy_gibs
keyvaluepairs,#hash_67d80f62eb0750e3
surfacesounddef,#hash_fa02727ac7423cc9
