type,name
streamerworld,#hash_73a5b14e312f0ff9
physpreset,#p7_debris_trash_drink_carrier_01
physpreset,#p7_medical_cot
physpreset,#can_small
physpreset,#metal_tray
physpreset,#paper_cup
physpreset,#sandbag
physpreset,#p7_supply_briefcase_02
physpreset,#wood_chunk
physpreset,#debris_chunk_light
physpreset,#hash_408bcb61fe20d903
physpreset,#p7_debris_trash_snack_bag_06
physpreset,#p7_debris_trash_snack_bag_07
physpreset,#p7_debris_trash_snack_bag_02
physpreset,#p7_debris_trash_snack_bag_03
physpreset,#p7_debris_trash_cup_coffee_02
physpreset,#p7_cup_coffee_mug
physpreset,#p7_debris_trash_paper_plate_01
physpreset,d#weapon_bullet
physpreset,#hash_5c2d217edb4867d8
physpreset,#metal_dish_small
physpreset,#p7_cigarette_pack
physpreset,#p7_medical_surgical_tools_tray
physpreset,#trash_paper
physpreset,#fire_extinguisher
physpreset,d#default
physpreset,#p7_tools_hammer
physpreset,#ceramic_cup
physpreset,#microscope
physpreset,#hash_7f10d2bf08c8cb38
physconstraints,d#hash_15def351e1a96176
physconstraints,d#hash_15def651e1a9668f
physconstraints,#hash_2608f3747c9f5826
physconstraints,d#hash_71161886efac93b3
xanim,#ai_zombie_base_walk_au_v10_pain_chest_f
xanim,#ai_zm_dlc1_zombie_crawl_climb_up_256_down_32
xanim,#hash_668e4bbeb1b7db
xanim,#ai_t8_zm_zombie_boardtear_aligned_l_6_pull
xanim,#vm_raygun_fire_ads
xanim,d#vm_pistol_webley_fire_ads
xanim,#ai_zombie_base_walk_au_v5_pain_chest_f
xanim,#ai_t8_zm_zombie_base_walk_jump_up_catwlk_160
xanim,#ai_t8_zm_quad_phaseright_long_a
xanim,#ai_t8_zm_quad_phaseright_long_b
xanim,#ai_t8_zm_zombie_base_walk_jump_up_catwlk_128
xanim,d#pt_pistol_swim_raise
xanim,#hash_eae853f4f842ad
xanim,#ai_t8_zm_zombie_base_trv_jump_up_128_thru_sm_hole
xanim,d#ai_t8_zm_mob_zombie_dog_stun_out
xanim,#hash_1268742ab2ef44e
xanim,d#vm_brawler_t8_sprint_in
xanim,#ai_zm_dlc1_zombie_walk_lowg_v4_pain_chest_f_alt
xanim,#ai_zombie_base_sprint_ad_sidestep_right_long_b
xanim,#ai_zombie_base_sprint_ad_sidestep_right_long_a
xanim,#hash_1d97786afeebda0
xanim,d#hash_1f40909bb41c100
xanim,#hash_20077bd02f1087a
xanim,#hash_223269fbd4e0d39
xanim,#hash_23757499345d55e
xanim,#hash_23d19e22a9f7cb8
xanim,#hash_28eef737f48f34a
xanim,#hash_28ef1737f48f6b0
xanim,#vm_ww_freezegun_idle_empty
xanim,#ai_zombie_base_run_ad_v21_pain_chest_f
xanim,#ai_t8_zm_quad_traverse_ground_crawlfast
xanim,#ai_zombie_zod_crawl_stunned_electrobolt_e
xanim,#ai_zombie_zod_crawl_stunned_electrobolt_d
xanim,#ai_zombie_zod_crawl_stunned_electrobolt_a
xanim,#ai_zombie_zod_crawl_stunned_electrobolt_c
xanim,#ai_zombie_zod_crawl_stunned_electrobolt_b
xanim,#hash_2e2bba4deec7fa0
xanim,#hash_30db7092df0e670
xanim,#hash_32a51c6c08fb1e2
xanim,#vm_zom_raygun_mk2_crawl_l
xanim,#vm_zom_raygun_mk2_crawl_f
xanim,#vm_zom_raygun_mk2_crawl_b
xanim,#vm_zom_raygun_mk2_crawl_r
xanim,#ai_t8_zm_zombie_boardtear_aligned_r_3_hold
xanim,#hash_34b5b905bcc5a3b
xanim,#ai_zombie_base_walk_ad_v22_pain_chest_f_alt
xanim,#ai_zombie_base_walk_au_sidestep_right_b
xanim,#ai_t8_zm_zombie_base_run_jump_up_128_quick
xanim,#ai_zombie_base_walk_ad_v23_pain_chest_f
xanim,#hash_412c474a5de2518
xanim,#pt_minigun_stand_fire
xanim,#hash_472703acc182c04
xanim,#vm_katana_crawl_r
xanim,#vm_katana_crawl_b
xanim,#vm_katana_crawl_f
xanim,#vm_katana_crawl_l
xanim,d#vm_pistol_webley_sprint_loop
xanim,#ai_t8_zm_zombie_boardtear_aligned_m_1_pull
xanim,#o_zombie_base_packapunch_poweron
xanim,#vm_purifier_t8_fire
xanim,d#vm_pistol_webley_jump
xanim,#vm_ww_freezegun_sprint_putaway
xanim,#hash_5b0c34f20f2fa2f
xanim,#vm_ww_freezegun_swim_uw_putaway
xanim,#ai_zombie_base_run_au_v5_pain_chest_f
xanim,#hash_5d88759d0352ed6
xanim,#vm_raygun_reload
xanim,d#pt_pistol_swim_putaway
xanim,#hash_63b627a2bbc26a8
xanim,#ai_zm_dlc1_zombie_run_lowg_v1_pain_chest_f
xanim,#hash_653c743060e81e4
xanim,#hash_653c843060e8397
xanim,#hash_653c943060e854a
xanim,#hash_653ca43060e86fd
xanim,#hash_669b77da61153fa
xanim,#ai_t8_zm_zombie_boardtear_aligned_l_3_pull
xanim,#ai_zombie_base_walk_ad_v22_pain_chest_f
xanim,#vm_ww_freezegun_jump
xanim,#ai_zombie_base_walk_ad_v1_pain_chest_f
xanim,d#pt_brawler_prone_putaway
xanim,#pt_katana_stand_putaway_quick
xanim,#ai_zm_dlc1_zombie_climb_up_256_down_40
xanim,#ai_zm_dlc1_zombie_climb_up_256_down_32
xanim,#hash_7bff9baacdca55c
xanim,#hash_7ca16aeab3098ab
xanim,#hash_7ca17aeab309a5e
xanim,#hash_7d059a6e18cd88c
xanim,#hash_7d9bb6fb1ce7848
xanim,#ai_zombie_zod_crawl_jump_down_256
xanim,#ai_t8_zm_quad_jump_down_96
xanim,#hash_7eb1ef737c8b19d
xanim,#vm_katana_sprint_out
xanim,#ai_t8_zm_quad_jump_down_48
xanim,#ai_t8_zm_quad_jump_down_72
xanim,#ai_t8_zm_quad_jump_down_36
xanim,#hash_8545a8925c61d8b
xanim,#hash_8545b8925c61f3e
xanim,#hash_857808925c893f4
xanim,#hash_857838925c8990d
xanim,d#pt_grenade_crouch_throw
xanim,#hash_88f062df0a9cee3
xanim,#hash_89039efee199529
xanim,#hash_89e9935c13a3779
xanim,#ai_zombie_smash_react_getup
xanim,#vm_raygun_ads_base_down
xanim,#ai_zombie_base_walk_ad_v19_pain_chest_f
xanim,d#pt_grenade_prone_throw
xanim,#hash_94894e3fd2b5fda
xanim,#hash_9cefa87f7c9ca0d
xanim,#hash_9ff521ab5c3ace8
xanim,d#vm_zom_bowie_knife_melee_stab
xanim,#hash_a1b4a6f9aecde19
xanim,#bo3_ai_zombie_taunts_4
xanim,#ai_zm_dlc1_zombie_sprint_lowg_v3_pain_chest_f_alt
xanim,#vm_katana_putaway_quick
xanim,#vm_katana_ads_base_up
xanim,#ai_zombie_base_run_au_v11_pain_chest_f_alt
xanim,d#pt_grenade_stand_throw
